system,case_id,question,run_number,latency_seconds,llm_calls,document_retrieval_calls,other_tool_calls,total_tool_calls,reasoning_turns,input_tokens,output_tokens,total_tokens,token_usage_complete,retrieved_document_chars,tool_observation_chars,fact_hits,fact_hit_count,expected_fact_count,expected_facts,forbidden_fact_violations,forbidden_facts,reflection_rejected,deprecated_model_name,unsupported_response_trigger
Classical RAG,3,Compare google/gemma-4-31B and Qwen3-30B-A3B-Thinking for a coding agent,1,0.18209879400001228,1,1,0,1,,3031,639,3670,True,4293,,"{""Qwen3-30B-A3B-Thinking"": true, ""gemma-4-31B"": true, ""throughput"": true}",3,3,"[""gemma-4-31B"", ""Qwen3-30B-A3B-Thinking"", ""throughput""]",0,[],False,False,False
Classical RAG,3,Compare google/gemma-4-31B and Qwen3-30B-A3B-Thinking for a coding agent,2,0.21271195700001044,1,1,0,1,,3031,639,3670,True,4293,,"{""Qwen3-30B-A3B-Thinking"": true, ""gemma-4-31B"": true, ""throughput"": true}",3,3,"[""gemma-4-31B"", ""Qwen3-30B-A3B-Thinking"", ""throughput""]",0,[],False,False,False
Classical RAG,3,Compare google/gemma-4-31B and Qwen3-30B-A3B-Thinking for a coding agent,3,0.18840559599993867,1,1,0,1,,3031,639,3670,True,4293,,"{""Qwen3-30B-A3B-Thinking"": true, ""gemma-4-31B"": true, ""throughput"": true}",3,3,"[""gemma-4-31B"", ""Qwen3-30B-A3B-Thinking"", ""throughput""]",0,[],False,False,False
Agentic RAG,3,Compare google/gemma-4-31B and Qwen3-30B-A3B-Thinking for a coding agent,1,0.5913953279996349,4,2,0,2,3,14957,893,15850,True,8535,9107,"{""Qwen3-30B-A3B-Thinking"": true, ""gemma-4-31B"": true, ""throughput"": true}",3,3,"[""gemma-4-31B"", ""Qwen3-30B-A3B-Thinking"", ""throughput""]",0,[],False,False,False
Agentic RAG,3,Compare google/gemma-4-31B and Qwen3-30B-A3B-Thinking for a coding agent,2,0.7135581309998997,4,2,0,2,3,14957,893,15850,True,8535,9107,"{""Qwen3-30B-A3B-Thinking"": true, ""gemma-4-31B"": true, ""throughput"": true}",3,3,"[""gemma-4-31B"", ""Qwen3-30B-A3B-Thinking"", ""throughput""]",0,[],False,False,False
Agentic RAG,3,Compare google/gemma-4-31B and Qwen3-30B-A3B-Thinking for a coding agent,3,1.9035056050001913,4,2,0,2,3,14957,893,15850,True,8535,9107,"{""Qwen3-30B-A3B-Thinking"": true, ""gemma-4-31B"": true, ""throughput"": true}",3,3,"[""gemma-4-31B"", ""Qwen3-30B-A3B-Thinking"", ""throughput""]",0,[],False,False,False
Classical RAG,4,What is AI Grid's refund policy?,1,0.17453123399991455,1,1,0,1,,2459,16,2475,True,3229,,"{""could not find"": true, ""documentation"": true}",2,2,"[""could not find"", ""documentation""]",0,[],False,False,False
Classical RAG,4,What is AI Grid's refund policy?,2,0.19588444299961338,1,1,0,1,,2459,16,2475,True,3229,,"{""could not find"": true, ""documentation"": true}",2,2,"[""could not find"", ""documentation""]",0,[],False,False,False
Classical RAG,4,What is AI Grid's refund policy?,3,0.19378860699998768,1,1,0,1,,2459,16,2475,True,3229,,"{""could not find"": true, ""documentation"": true}",2,2,"[""could not find"", ""documentation""]",0,[],False,False,False
Agentic RAG,4,What is AI Grid's refund policy?,1,0.36711114699983227,3,1,0,1,2,5788,56,5844,True,3232,3318,"{""could not find"": true, ""documentation"": true}",2,2,"[""could not find"", ""documentation""]",0,[],False,False,False
Agentic RAG,4,What is AI Grid's refund policy?,2,0.3795737929999632,3,1,0,1,2,5788,56,5844,True,3232,3318,"{""could not find"": true, ""documentation"": true}",2,2,"[""could not find"", ""documentation""]",0,[],False,False,False
Agentic RAG,4,What is AI Grid's refund policy?,3,0.3308937749998222,3,1,0,1,2,5788,56,5844,True,3232,3318,"{""could not find"": true, ""documentation"": true}",2,2,"[""could not find"", ""documentation""]",0,[],False,False,False
Classical RAG,5,"Compare Qwen3-30B-A3B-Thinking, google/gemma-4-31B, and meta-models/Muse-Glimmer-30B for general reasoning tasks",1,0.1895821790003538,1,1,0,1,,3042,455,3497,True,4210,,"{""Muse-Glimmer-30B"": true, ""Qwen3-30B-A3B-Thinking"": true, ""gemma-4-31B"": true}",3,3,"[""Qwen3-30B-A3B-Thinking"", ""gemma-4-31B"", ""Muse-Glimmer-30B""]",0,[],False,False,False
Classical RAG,5,"Compare Qwen3-30B-A3B-Thinking, google/gemma-4-31B, and meta-models/Muse-Glimmer-30B for general reasoning tasks",2,0.20010607399990477,1,1,0,1,,3042,455,3497,True,4210,,"{""Muse-Glimmer-30B"": true, ""Qwen3-30B-A3B-Thinking"": true, ""gemma-4-31B"": true}",3,3,"[""Qwen3-30B-A3B-Thinking"", ""gemma-4-31B"", ""Muse-Glimmer-30B""]",0,[],False,False,False
Classical RAG,5,"Compare Qwen3-30B-A3B-Thinking, google/gemma-4-31B, and meta-models/Muse-Glimmer-30B for general reasoning tasks",3,0.2063391340002454,1,1,0,1,,3042,455,3497,True,4210,,"{""Muse-Glimmer-30B"": true, ""Qwen3-30B-A3B-Thinking"": true, ""gemma-4-31B"": true}",3,3,"[""Qwen3-30B-A3B-Thinking"", ""gemma-4-31B"", ""Muse-Glimmer-30B""]",0,[],False,False,False
Agentic RAG,5,"Compare Qwen3-30B-A3B-Thinking, google/gemma-4-31B, and meta-models/Muse-Glimmer-30B for general reasoning tasks",1,1.0869044159999248,4,1,1,2,3,11023,1096,12119,True,4248,4984,"{""Muse-Glimmer-30B"": true, ""Qwen3-30B-A3B-Thinking"": true, ""gemma-4-31B"": true}",3,3,"[""Qwen3-30B-A3B-Thinking"", ""gemma-4-31B"", ""Muse-Glimmer-30B""]",0,[],False,False,False
Agentic RAG,5,"Compare Qwen3-30B-A3B-Thinking, google/gemma-4-31B, and meta-models/Muse-Glimmer-30B for general reasoning tasks",2,0.5073825370000122,4,1,1,2,3,11023,1096,12119,True,4248,4984,"{""Muse-Glimmer-30B"": true, ""Qwen3-30B-A3B-Thinking"": true, ""gemma-4-31B"": true}",3,3,"[""Qwen3-30B-A3B-Thinking"", ""gemma-4-31B"", ""Muse-Glimmer-30B""]",0,[],False,False,False
Agentic RAG,5,"Compare Qwen3-30B-A3B-Thinking, google/gemma-4-31B, and meta-models/Muse-Glimmer-30B for general reasoning tasks",3,1.5270849309999903,4,1,1,2,3,11023,1096,12119,True,4248,4984,"{""Muse-Glimmer-30B"": true, ""Qwen3-30B-A3B-Thinking"": true, ""gemma-4-31B"": true}",3,3,"[""Qwen3-30B-A3B-Thinking"", ""gemma-4-31B"", ""Muse-Glimmer-30B""]",0,[],False,False,False
Classical RAG,6,What is the exact input price per million tokens for Qwen3-30B-A3B-Thinking?,1,0.20777239600010944,1,1,0,1,,3014,62,3076,True,4259,,"{""73"": true, ""Qwen3-30B-A3B-Thinking"": true}",2,2,"[""73"", ""Qwen3-30B-A3B-Thinking""]",0,[],False,False,False
Classical RAG,6,What is the exact input price per million tokens for Qwen3-30B-A3B-Thinking?,2,0.2048611840000376,1,1,0,1,,3014,62,3076,True,4259,,"{""73"": true, ""Qwen3-30B-A3B-Thinking"": true}",2,2,"[""73"", ""Qwen3-30B-A3B-Thinking""]",0,[],False,False,False
Classical RAG,6,What is the exact input price per million tokens for Qwen3-30B-A3B-Thinking?,3,0.20686212599957798,1,1,0,1,,3014,62,3076,True,4259,,"{""73"": true, ""Qwen3-30B-A3B-Thinking"": true}",2,2,"[""73"", ""Qwen3-30B-A3B-Thinking""]",0,[],False,False,False
Agentic RAG,6,What is the exact input price per million tokens for Qwen3-30B-A3B-Thinking?,1,0.49957888600010847,3,1,0,1,2,7337,120,7457,True,4252,4545,"{""73"": true, ""Qwen3-30B-A3B-Thinking"": true}",2,2,"[""73"", ""Qwen3-30B-A3B-Thinking""]",0,[],False,False,False
Agentic RAG,6,What is the exact input price per million tokens for Qwen3-30B-A3B-Thinking?,2,0.332232808000299,3,1,0,1,2,7337,120,7457,True,4252,4545,"{""73"": true, ""Qwen3-30B-A3B-Thinking"": true}",2,2,"[""73"", ""Qwen3-30B-A3B-Thinking""]",0,[],False,False,False
Agentic RAG,6,What is the exact input price per million tokens for Qwen3-30B-A3B-Thinking?,3,0.35847189199967033,3,1,0,1,2,7337,120,7457,True,4252,4545,"{""73"": true, ""Qwen3-30B-A3B-Thinking"": true}",2,2,"[""73"", ""Qwen3-30B-A3B-Thinking""]",0,[],False,False,False
Classical RAG,7,"I'm a certified startup building a multilingual customer chatbot that also needs to process scanned invoices with OCR. Which AI Grid plan should I use, which models, and roughly what would 10 million input tokens per month cost me across all the models involved?",1,0.2052626979998422,1,1,0,1,,2888,431,3319,True,4192,,"{""i do not have enough information"": true}",1,1,"[""i do not have enough information""]",0,"[""GPT OSS 20B""]",False,False,False
Classical RAG,7,"I'm a certified startup building a multilingual customer chatbot that also needs to process scanned invoices with OCR. Which AI Grid plan should I use, which models, and roughly what would 10 million input tokens per month cost me across all the models involved?",2,0.5936972290000995,1,1,0,1,,2888,431,3319,True,4192,,"{""i do not have enough information"": true}",1,1,"[""i do not have enough information""]",0,"[""GPT OSS 20B""]",False,False,False
Classical RAG,7,"I'm a certified startup building a multilingual customer chatbot that also needs to process scanned invoices with OCR. Which AI Grid plan should I use, which models, and roughly what would 10 million input tokens per month cost me across all the models involved?",3,0.22212966300003245,1,1,0,1,,2888,431,3319,True,4192,,"{""i do not have enough information"": true}",1,1,"[""i do not have enough information""]",0,"[""GPT OSS 20B""]",False,False,False
Agentic RAG,7,"I'm a certified startup building a multilingual customer chatbot that also needs to process scanned invoices with OCR. Which AI Grid plan should I use, which models, and roughly what would 10 million input tokens per month cost me across all the models involved?",1,0.42706476000012117,3,1,0,1,2,6715,763,7478,True,3878,3991,"{""i do not have enough information"": true}",1,1,"[""i do not have enough information""]",0,"[""GPT OSS 20B""]",True,True,True
Agentic RAG,7,"I'm a certified startup building a multilingual customer chatbot that also needs to process scanned invoices with OCR. Which AI Grid plan should I use, which models, and roughly what would 10 million input tokens per month cost me across all the models involved?",2,0.3898951810001563,3,1,0,1,2,6715,763,7478,True,3878,3991,"{""i do not have enough information"": true}",1,1,"[""i do not have enough information""]",0,"[""GPT OSS 20B""]",True,True,True
Agentic RAG,7,"I'm a certified startup building a multilingual customer chatbot that also needs to process scanned invoices with OCR. Which AI Grid plan should I use, which models, and roughly what would 10 million input tokens per month cost me across all the models involved?",3,0.8460807379997277,3,1,0,1,2,6715,763,7478,True,3878,3991,"{""i do not have enough information"": true}",1,1,"[""i do not have enough information""]",0,"[""GPT OSS 20B""]",True,True,True
